,se_equities,se_bonds
1979-11-01,0.025126507133132137,0.0064619606336902
1979-12-01,0.018526073603153392,-0.0020245129235548776
1980-01-01,0.06199920208900189,0.02747936780711635
1980-02-01,0.0010903446889807267,-0.00822310886383748
1980-03-01,-0.007854210549303242,0.006068269783498392
1980-04-01,0.021743821939111063,0.00867708570638226
1980-05-01,0.005555526733479033,0.011382921385122868
1980-06-01,0.008677091997208564,-0.00012108834423141257
1980-07-01,0.016393763576903364,0.01216531804085541
1980-08-01,-0.027352638006810537,0.004186453351212149
1980-09-01,-0.00628987583467755,-0.05538813223853145
1980-10-01,0.0791895209797231,0.009200500748077545
1980-11-01,0.060371395444399845,0.006225346575750468
1980-12-01,0.04408851420411852,0.015773870302248527
1981-01-01,0.001457976621994872,0.0033950512099520935
1981-02-01,0.11037110082987445,-0.03551348415542099
1981-03-01,0.05162945429246868,0.01612576433414059
1981-04-01,-0.02054166304018834,0.014570413913545632
1981-05-01,0.08757217545794638,0.0019680230705132473
1981-06-01,0.12120552013012342,0.011158045748548728
1981-07-01,0.06571430360873176,0.008135184289296937
1981-08-01,-0.005063820555669563,0.005054967143183653
1981-09-01,-0.05470696998651947,0.015140646226041277
1981-10-01,0.10269622895531394,0.01195888943427037
1981-11-01,0.07332666882644578,0.005942652159738104
1981-12-01,-0.004847355880888249,0.07855810240237537
1982-01-01,-0.011378008617796476,-0.0048082442954532345
1982-02-01,-0.0022554775358616386,0.019236350347336062
1982-03-01,-0.02176553054018493,0.012280076116838234
1982-04-01,-0.041884904011120105,0.008617791243395123
1982-05-01,0.03753290387842978,0.01027932195991621
1982-06-01,0.002852756244266841,-0.003260453569275401
1982-07-01,0.04614400335764457,-0.0014466925485150384
1982-08-01,0.006148857420599896,0.01584012433637061
1982-09-01,0.06389562106736801,0.005727016190374634
1982-10-01,0.08398028990020734,-0.015561083098171169
1982-11-01,0.13046663730395025,0.05758144242458507
1982-12-01,0.05561976955127035,0.009045745410601436
1983-01-01,0.14398953005257797,-0.0019158353255670502
1983-02-01,0.18876262072505723,0.028024952384289037
