date,close
2022-10-28,120
2022-10-31,120
2022-11-01,120
2022-11-02,120
2022-11-03,120
2022-11-04,120
2022-11-07,120
2022-11-08,120
2022-11-09,120
2022-11-10,120
2022-11-11,120
2022-11-14,120
2022-11-15,120
2022-11-16,120
2022-11-17,120
2022-11-18,120
2022-11-21,120
2022-11-22,120
2022-11-23,120
2022-11-24,120
2022-11-25,120
2022-11-28,120
2022-11-29,120
2022-11-30,120
2022-12-01,120
2022-12-02,120
2022-12-05,120
2022-12-06,120
2022-12-07,120
2022-12-08,120
2022-12-09,120
2022-12-12,120
2022-12-13,120
2022-12-14,120
2022-12-15,120
2022-12-16,120
2022-12-19,120
2022-12-20,120
2022-12-21,120
2022-12-22,120
2022-12-23,120
2022-12-26,120
2022-12-27,120
2022-12-28,120
2022-12-29,120
2022-12-30,120
2023-01-02,120
2023-01-03,120
2023-01-04,120
2023-01-05,120
2023-01-06,120
2023-01-09,120
2023-01-10,120
2023-01-11,120
2023-01-12,120
2023-01-13,120
2023-01-16,120
2023-01-17,120
2023-01-18,120
2023-01-19,120
2023-01-20,120
2023-01-23,120
2023-01-24,120
2023-01-25,120
2023-01-26,120
2023-01-27,120
2023-01-30,120
2023-01-31,120
2023-02-01,120
2023-02-02,120
2023-02-03,120
2023-02-06,120
2023-02-07,120
2023-02-08,120
2023-02-09,120
2023-02-10,120
2023-02-13,120
2023-02-14,120
2023-02-15,120
2023-02-16,120
2023-02-17,120
2023-02-20,120
2023-02-21,120
2023-02-22,120
2023-02-23,120
2023-02-24,120
2023-02-27,120
2023-02-28,120
2023-03-01,120
2023-03-02,120
2023-03-03,120
2023-03-06,120
2023-03-07,120
2023-03-08,120
2023-03-09,120
2023-03-10,120
2023-03-13,120
2023-03-14,120
2023-03-15,120
2023-03-16,120
2023-03-17,120
2023-03-20,120
2023-03-21,120
2023-03-22,120
2023-03-23,120
2023-03-24,120
2023-03-27,120
2023-03-28,120
2023-03-29,120
2023-03-30,120
2023-03-31,120
2023-04-03,120
2023-04-04,120
2023-04-05,120
2023-04-06,120
2023-04-07,120
2023-04-10,120
2023-04-11,120
2023-04-12,120
2023-04-13,120
2023-04-14,120
2023-04-17,120
2023-04-18,120
2023-04-19,120
2023-04-20,120
2023-04-21,120
2023-04-24,120
2023-04-25,120
2023-04-26,120
2023-04-27,120
2023-04-28,120
2023-05-01,120
2023-05-02,120
2023-05-03,120
2023-05-04,120
2023-05-05,120
2023-05-08,120
2023-05-09,120
2023-05-10,120
2023-05-11,120
2023-05-12,120
2023-05-15,120
2023-05-16,120
2023-05-17,120
2023-05-18,120
2023-05-19,120
2023-05-22,120
2023-05-23,120
2023-05-24,120
2023-05-25,120
2023-05-26,120
2023-05-29,120
2023-05-30,120
2023-05-31,120
2023-06-01,120
2023-06-02,120
2023-06-05,120
2023-06-06,120
2023-06-07,120
2023-06-08,120
2023-06-09,120
2023-06-12,120
2023-06-13,120
2023-06-14,120
2023-06-15,120
2023-06-16,120
2023-06-19,120
2023-06-20,120
2023-06-21,120
2023-06-22,120
2023-06-23,120
2023-06-26,120
2023-06-27,120
2023-06-28,120
2023-06-29,120
2023-06-30,120
